iso_a3,country_name,study_count,centroid_lat,centroid_lon,gdp_year,gdp_current_usd,gdp_log10
SDN,Sudan,8,15.9679661132356,29.9074652465698,2024,49672435513.1126,10.696115454619221
TZA,Tanzania,8,-6.26824779739325,34.801810647267,2024,78844405385.2195,10.89677088223653
BOL,Bolivia,7,-16.681984236519,-64.6984386207499,2024,54881327452.9667,10.73942460740945
BFA,Burkina Faso,7,12.2707262425414,-1.76113831482965,2024,23124729853.0218,10.364076667939623
CUB,Cuba,7,21.6379353401774,-78.9870541271383,2020,107352000000,11.030810139884263
EST,Estonia,7,58.6729024299068,25.545032877453,2024,43130419829.35,10.634783685567298
NPL,Nepal,7,28.2580425125365,83.9468444279168,2024,42914268286.7109,10.632601711950006
UGA,Uganda,7,1.27423154246739,32.3686653753119,2024,53911907086.1525,10.731684694884532
BGR,Bulgaria,6,42.7712410532641,25.2091326182522,2024,113343355779.985,11.054396066741644
IRL,Ireland,6,53.1625330783272,-8.14571834250354,2024,609157459747.205,11.78472956695204
BEL,Belgium,5,50.6391310051005,4.64783125187333,2024,671370081636.406,11.8269619838144
HND,Honduras,5,14.8290802772322,-86.6176147831547,2024,37093565854.0437,10.569298584644223
MDG,Madagascar,5,-19.3164837005686,46.7428900556254,2024,17420501490.1231,10.241060653040089
MNE,Montenegro,5,42.7880033068397,19.2386306670085,2024,8270016670.86774,9.917506385013075
PNG,Papua New Guinea,5,-6.46858138616668,145.200496709558,2024,31800428265.5246,10.502432968792663
SGP,Singapore,5,1.35876224689065,103.817255828195,2024,547386645891.847,11.73829419810475
PYF,Fr. Polynesia,4,-14.7131078115589,-144.785420562981,2024,6323716355.05009,9.80097238178528
KAZ,Kazakhstan,4,48.3616709141513,67.245502623578,2024,291480274648.826,11.464609170069215
BLR,Belarus,3,53.5195205530221,28.0149551024805,2024,75961865471.9129,10.880595621602234
BMU,Bermuda,3,32.3136780686167,-64.7546002002701,2024,9233600000,9.965371056964587
BRN,Brunei,3,4.51968373105294,114.721966207324,2024,15340808592.48,10.185848251268585
COG,Congo,3,-0.836992405518087,15.2211423451148,2024,15719986076.6464,10.196452157044464
GUY,Guyana,3,4.78964291142976,-58.9799209901224,2024,24662709832.1343,10.392040793285098
LBY,Libya,3,27.016716394901,18.0667932088379,2024,48487151215.345,10.685626668590668
MUS,Mauritius,3,-20.2776195923663,57.5712647063556,2024,14937861786.17,10.17428843677486
NCL,New Caledonia,3,-21.3008860612366,165.679742551398,2024,8548919387.12607,9.931911221878137
SYR,Syria,3,35.0190479430799,38.487839822871,2022,23622827079.5047,10.373331870904838
TTO,Trinidad and Tobago,3,10.4571725762484,-61.2659018391326,2024,25633544529.4849,10.408808663272096
ZWE,Zimbabwe,3,-18.9970468184375,29.8510133848713,2024,41539411516.4448,10.61846033964802
